date;symbol;reportedCurrency;cik;fillingDate;acceptedDate;calendarYear;period;revenue;costOfRevenue;grossProfit;grossProfitRatio;researchAndDevelopmentExpenses;generalAndAdministrativeExpenses;sellingAndMarketingExpenses;sellingGeneralAndAdministrativeExpenses;otherExpenses;operatingExpenses;costAndExpenses;interestIncome;interestExpense;depreciationAndAmortization;ebitda;ebitdaratio;operatingIncome;operatingIncomeRatio;totalOtherIncomeExpensesNet;incomeBeforeTax;incomeBeforeTaxRatio;incomeTaxExpense;netIncome;netIncomeRatio;eps;epsdiluted;weightedAverageShsOut;weightedAverageShsOutDil;link;finalLink
2021-09-25;AAPL;USD;0000320193;2021-10-29;2021-10-28 18:04:28;2021;FY;365817000000;212981000000;152836000000;0.4177935962516778;21914000000;0;0;21973000000;0;43887000000;256868000000;2843000000;2645000000;11284000000;123136000000;0.33660546120054563;108949000000;0.29782377527561593;258000000;109207000000;0.2985290459437369;14527000000;94680000000;0.2588179335569424;5.67;5.61;16701272000;16864919000;https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm;https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
2020-09-26;AAPL;USD;0000320193;2020-10-30;2020-10-29 18:06:25;2020;FY;274515000000;169559000000;104956000000;0.38233247727810865;18752000000;0;0;19916000000;0;38668000000;208227000000;3763000000;2873000000;11056000000;81020000000;0.2951386991603373;66288000000;0.24147314354406862;803000000;67091000000;0.24439830246070343;9680000000;57411000000;0.20913611278072236;3.31;3.28;17352119000;17528214000;https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm;https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
2019-09-28;AAPL;USD;0000320193;2019-10-31;2019-10-30 18:12:36;2019;FY;260174000000;161782000000;98392000000;0.3781776810903472;16217000000;0;0;18245000000;0;34462000000;196244000000;4961000000;3576000000;12547000000;81860000000;0.3146355900282119;63930000000;0.24572017188496928;1807000000;65737000000;0.2526655238417367;10481000000;55256000000;0.21238094505984456;2.9925;2.9725;18471336000;18595652000;https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html;https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2018-09-29;AAPL;USD;0000320193;2018-11-05;2018-11-05 08:01:40;2018;FY;265595000000;163756000000;101839000000;0.38343718820007905;14236000000;0;0;16705000000;0;30941000000;194697000000;5686000000;3240000000;10903000000;87046000000;0.327739603531693;70898000000;0.26694026619477024;2005000000;72903000000;0.27448935409175623;13372000000;59531000000;0.22414202074587247;3.0025;2.9775;19821508000;20000436000;https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html;https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
2017-09-30;AAPL;USD;0000320193;2017-11-03;2017-11-03 08:01:37;2017;FY;229234000000;141048000000;88186000000;0.38469860491899105;11581000000;0;0;15261000000;0;26842000000;167890000000;5201000000;2323000000;10157000000;76569000000;0.33402113124580124;61344000000;0.2676042820872994;2745000000;64089000000;0.27957894553164014;15738000000;48351000000;0.21092420845075338;2.3175;2.3025;20868968000;21006768000;https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html;https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
2016-09-24;AAPL;USD;0000320193;2016-10-26;2016-10-26 16:42:16;2016;FY;215639000000;131376000000;84263000000;0.3907595564809705;10045000000;0;0;14194000000;0;24239000000;155615000000;3999000000;1456000000;10505000000;73333000000;0.34007299236223504;60024000000;0.27835410106706115;1348000000;61372000000;0.284605289395703;15685000000;45687000000;0.211867983064288;2.0875;2.0775;21883280000;22001124000;https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html;https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
2015-09-26;AAPL;USD;0000320193;2015-10-28;2015-10-28 16:31:09;2015;FY;233715000000;140089000000;93626000000;0.4005990201741437;8067000000;0;0;14329000000;0;22396000000;162485000000;2921000000;733000000;11257000000;84505000000;0.3615728558286802;71230000000;0.3047729071732666;1285000000;72515000000;0.31027105662880006;19121000000;53394000000;0.22845773698735639;2.32;2.305;23013684000;23172276000;https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html;https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
2014-09-27;AAPL;USD;0000320193;2014-10-27;2014-10-27 17:11:55;2014;FY;182795000000;112258000000;70537000000;0.3858803577778386;6041000000;0;0;11993000000;0;18034000000;130292000000;1795000000;384000000;7946000000;61813000000;0.3381547635329194;52503000000;0.28722339232473537;980000000;53483000000;0.29258458929401787;13973000000;39510000000;0.21614376760852322;1.6225;1.6125;24342288000;24490652000;https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html;https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm
2013-09-28;AAPL;USD;0000320193;2013-10-30;2013-10-29 20:38:28;2013;FY;170910000000;106606000000;64304000000;0.3762448072084723;4475000000;0;0;10830000000;0;15305000000;121911000000;1616000000;136000000;6757000000;57048000000;0.3337897138845006;48999000000;0.2866947516236616;1156000000;50155000000;0.293458545433269;13118000000;37037000000;0.21670469837926393;1.429643;1.419643;25909268000;26086536000;https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html;https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm
2012-09-29;AAPL;USD;0000320193;2012-10-31;2012-10-31 17:07:19;2012;FY;156508000000;87846000000;68662000000;0.4387123980882766;3381000000;0;0;10040000000;0;13421000000;101267000000;1088000000;0;3277000000;59040000000;0.3772331126843356;55241000000;0.35295959311984054;522000000;55763000000;0.35629488588442765;14030000000;41733000000;0.26665090602397323;1.594286;1.576786;26174904000;26469940000;https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html;https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm
